金额,商品,支付时间,地点,商品大类,商品二级类
3.5,东鹏特饮,2017/2/2 19:13,B,饮料,功能饮料
3.0,伊利纯牛奶,2017/2/2 19:13,D,饮料,乳制品
2.5,怡宝纯净水,2017/2/2 20:14,B,饮料,水
3.0,卫龙大面筋,2017/2/2 20:14,E,非饮料,肉干/豆制品/蛋
3.0,可口可乐（500ml）,2017/2/2 20:30,D,饮料,碳酸饮料
3.5,东鹏特饮,2017/2/2 20:49,A,饮料,功能饮料
3.0,统一冰红茶,2017/2/2 20:49,C,饮料,茶饮料
1.0,香豆干,2017/2/2 20:53,C,非饮料,肉干/豆制品/蛋
2.0,怡宝纯净水,2017/2/2 21:01,B,饮料,水
1.0,咪咪,2017/2/2 21:12,D,非饮料,膨化食品
4.0,脉动,2017/2/2 21:13,A,饮料,功能饮料
4.5,78g卫龙亲嘴语辣条,2017/2/2 21:13,D,非饮料,肉干/豆制品/蛋
3.0,维他奶,2017/2/2 21:13,D,饮料,植物蛋白
3.5,东鹏特饮,2017/2/2 21:18,D,饮料,功能饮料
3.5,东鹏特饮,2017/2/2 21:19,D,饮料,功能饮料
3.5,东鹏特饮,2017/2/2 21:37,E,饮料,功能饮料
3.5,70g乖媳妇野山泡椒凤爪,2017/2/2 21:44,E,非饮料,肉干/豆制品/蛋
4.0,营养快线,2017/2/2 21:44,E,饮料,乳制品
3.0,可口可乐（500ml）,2017/2/2 22:01,D,饮料,碳酸饮料
4.0,营养快线,2017/2/2 22:34,D,饮料,乳制品
3.5,统一绿茶,2017/2/2 22:40,E,饮料,茶饮料
2.5,怡宝纯净水,2017/2/2 22:42,B,饮料,水
3.0,芬达330ml,2017/2/2 22:42,E,饮料,碳酸饮料
6.0,红牛,2017/2/2 23:18,B,饮料,功能饮料
6.0,红牛,2017/2/2 23:48,B,饮料,功能饮料
3.5,统一绿茶,2017/2/3 08:59,E,饮料,茶饮料
3.5,统一绿茶,2017/2/3 09:01,E,饮料,茶饮料
15.0,口味王槟榔（红）,2017/2/3 09:05,C,非饮料,蜜饯/果干
4.0,营养快线,2017/2/3 11:41,B,饮料,乳制品
3.0,250ml维他奶巧克力味,2017/2/3 11:41,E,饮料,植物蛋白
1.0,香豆干,2017/2/3 11:41,E,非饮料,肉干/豆制品/蛋
3.0,果粒橙,2017/2/3 11:48,B,饮料,果蔬饮料
4.0,脉动,2017/2/3 14:15,E,饮料,功能饮料
3.0,果粒橙,2017/2/3 14:17,B,饮料,果蔬饮料
10.0,湘潭铺子(羽泉版),2017/2/3 14:20,B,非饮料,蜜饯/果干
2.0,怡宝纯净水,2017/2/3 14:55,B,饮料,水
15.0,口味王槟榔（红）,2017/2/3 14:59,C,非饮料,蜜饯/果干
1.0,手撕素肉排,2017/2/3 16:02,B,非饮料,肉干/豆制品/蛋
3.0,可口可乐最新款,2017/2/3 16:04,D,饮料,碳酸饮料
10.0,口味王槟榔（绿）,2017/2/3 16:04,E,非饮料,蜜饯/果干
1.0,好吃点小饼干,2017/2/3 16:23,B,非饮料,饼干糕点
3.5,统一绿茶,2017/2/3 16:24,E,饮料,茶饮料
3.0,冰糖雪梨,2017/2/3 16:25,C,饮料,果蔬饮料
4.0,果粒橙,2017/2/3 16:31,E,饮料,果蔬饮料
3.5,果粒橙,2017/2/3 16:44,E,饮料,果蔬饮料
4.0,脉动,2017/2/3 19:12,C,饮料,功能饮料
2.0,怡宝纯净水,2017/2/3 19:32,B,饮料,水
4.0,阿萨姆奶茶,2017/2/3 19:32,C,饮料,茶饮料
3.0,可口可乐最新款,2017/2/3 19:32,D,饮料,碳酸饮料
6.0,红牛,2017/2/3 20:19,C,饮料,功能饮料
3.0,伊利纯牛奶,2017/2/3 20:21,A,饮料,乳制品
3.0,可口可乐（500ml）,2017/2/3 20:35,D,饮料,碳酸饮料
4.0,王老吉（500ml）,2017/2/3 20:39,D,饮料,茶饮料
3.0,熊字饼,2017/2/3 21:08,E,非饮料,饼干糕点
1.5,小鱼仔,2017/2/3 21:18,C,非饮料,海味零食
2.0,香脆肠,2017/2/3 21:24,C,非饮料,肉干/豆制品/蛋
3.5,600ml雪碧,2017/2/3 21:37,E,饮料,碳酸饮料
1.0,香豆干,2017/2/3 21:37,E,非饮料,肉干/豆制品/蛋
3.0,统一冰红茶,2017/2/3 21:48,C,饮料,茶饮料
3.5,果粒橙,2017/2/4 08:00,E,饮料,果蔬饮料
4.0,营养快线,2017/2/4 08:12,B,饮料,乳制品
3.0,果粒橙,2017/2/4 08:40,C,饮料,果蔬饮料
2.0,怡宝纯净水,2017/2/4 08:55,B,饮料,水
4.0,营养快线,2017/2/4 08:57,B,饮料,乳制品
1.0,香豆干,2017/2/4 08:57,E,非饮料,肉干/豆制品/蛋
1.5,小鱼仔,2017/2/4 08:58,C,非饮料,海味零食
4.0,经典奶茶,2017/2/4 08:58,E,饮料,茶饮料
6.0,红牛,2017/2/4 08:59,B,饮料,功能饮料
3.5,东鹏特饮,2017/2/4 09:00,B,饮料,功能饮料
4.0,脉动,2017/2/4 09:00,E,饮料,功能饮料
2.0,伊利优酸乳,2017/2/4 09:02,B,饮料,乳制品
3.5,东鹏特饮,2017/2/4 09:04,B,饮料,功能饮料
3.0,果粒橙,2017/2/4 09:04,E,饮料,果蔬饮料
2.0,鸭翅,2017/2/4 09:17,B,非饮料,肉干/豆制品/蛋
3.0,可口可乐最新款,2017/2/4 09:19,B,饮料,碳酸饮料
3.5,东鹏特饮,2017/2/4 09:27,D,饮料,功能饮料
1.5,鸭翅,2017/2/4 09:27,E,非饮料,肉干/豆制品/蛋
4.0,营养快线,2017/2/4 09:32,C,饮料,乳制品
1.0,香豆干,2017/2/4 09:37,C,非饮料,肉干/豆制品/蛋
2.0,香脆肠,2017/2/4 10:04,C,非饮料,肉干/豆制品/蛋
2.0,香脆肠,2017/2/4 10:41,C,非饮料,肉干/豆制品/蛋
4.0,脉动,2017/2/4 12:01,C,饮料,功能饮料
4.0,脉动,2017/2/4 12:04,C,饮料,功能饮料
3.0,伊利优酸乳,2017/2/4 12:07,E,饮料,乳制品
3.0,统一冰红茶,2017/2/4 12:08,D,饮料,茶饮料
4.5,阿萨姆奶茶,2017/2/4 12:12,C,饮料,茶饮料
2.5,怡宝纯净水,2017/2/4 12:12,E,饮料,水
4.0,王老吉（500ml）,2017/2/4 12:19,B,饮料,茶饮料
3.5,东鹏特饮,2017/2/4 12:27,B,饮料,功能饮料
2.0,香脆肠,2017/2/4 12:29,C,非饮料,肉干/豆制品/蛋
3.0,可口可乐最新款,2017/2/4 12:35,B,饮料,碳酸饮料
3.5,统一冰红茶,2017/2/4 13:08,C,饮料,茶饮料
1.5,香脆肠,2017/2/4 13:08,D,非饮料,肉干/豆制品/蛋
2.5,怡宝纯净水,2017/2/4 13:48,B,饮料,水
4.5,脉动,2017/2/4 13:48,C,饮料,功能饮料
6.0,红牛,2017/2/4 13:51,C,饮料,功能饮料
3.0,统一冰红茶,2017/2/4 14:12,D,饮料,茶饮料
3.5,熊字饼,2017/2/4 14:15,E,非饮料,饼干糕点
4.0,银鹭八宝粥,2017/2/4 14:24,B,饮料,方便速食
4.0,营养快线,2017/2/4 14:44,C,饮料,乳制品
3.5,冰糖雪梨,2017/2/4 14:54,E,饮料,果蔬饮料
2.5,怡宝纯净水,2017/2/4 15:32,B,饮料,水
1.0,香豆干,2017/2/4 15:32,E,非饮料,肉干/豆制品/蛋
2.0,香脆肠,2017/2/4 15:40,C,非饮料,肉干/豆制品/蛋
6.0,红牛,2017/2/4 15:50,C,饮料,功能饮料
4.0,脉动,2017/2/4 15:52,D,饮料,功能饮料
1.0,香豆干,2017/2/4 15:52,E,非饮料,肉干/豆制品/蛋
3.0,印尼芝士威化饼干,2017/2/4 16:00,B,非饮料,饼干糕点
2.5,怡宝纯净水,2017/2/4 16:00,D,饮料,水
3.5,东鹏特饮,2017/2/4 16:00,E,饮料,功能饮料
4.0,脉动,2017/2/4 16:03,C,饮料,功能饮料
4.0,脉动,2017/2/4 16:04,C,饮料,功能饮料
3.0,茉莉蜜茶,2017/2/4 16:05,A,饮料,茶饮料
6.0,红牛,2017/2/4 16:09,C,饮料,功能饮料
5.5,268ml雀巢咖啡丝滑拿铁,2017/2/4 16:11,E,饮料,咖啡
3.5,东鹏特饮,2017/2/4 16:11,E,饮料,功能饮料
6.0,红牛,2017/2/4 16:17,C,饮料,功能饮料
4.0,王老吉（500ml）,2017/2/4 16:32,B,饮料,茶饮料
4.0,王老吉（罐）,2017/2/4 16:32,C,饮料,茶饮料
4.0,脉动,2017/2/4 16:32,D,饮料,功能饮料
6.0,雀巢咖啡,2017/2/4 16:35,A,饮料,咖啡
1.0,好吃点小饼干,2017/2/4 16:38,B,非饮料,饼干糕点
2.5,伊利优酸乳,2017/2/4 16:42,A,饮料,乳制品
2.0,怡宝纯净水,2017/2/4 16:52,A,饮料,水
2.0,怡宝纯净水,2017/2/4 16:57,B,饮料,水
4.5,脉动,2017/2/4 17:02,C,饮料,功能饮料
3.0,伊利纯牛奶,2017/2/4 17:02,D,饮料,乳制品
2.0,怡宝纯净水,2017/2/4 17:23,B,饮料,水
4.5,脉动,2017/2/4 17:41,C,饮料,功能饮料
2.5,伊利优酸乳,2017/2/4 17:41,D,饮料,乳制品
1.5,鸭翅,2017/2/4 19:00,D,非饮料,肉干/豆制品/蛋
1.0,香豆干,2017/2/4 19:07,D,非饮料,肉干/豆制品/蛋
4.0,乐虎（380ml）,2017/2/4 19:18,C,饮料,功能饮料
3.0,果粒橙,2017/2/4 19:18,D,饮料,果蔬饮料
6.0,红牛,2017/2/4 19:35,B,饮料,功能饮料
4.0,王老吉（500ml）,2017/2/4 19:51,D,饮料,茶饮料
3.5,王老吉（罐）,2017/2/4 20:22,D,饮料,茶饮料
1.0,香豆干,2017/2/4 20:32,D,非饮料,肉干/豆制品/蛋
3.5,阿萨姆奶茶,2017/2/4 22:17,E,饮料,茶饮料
1.0,香豆干,2017/2/5 02:40,B,非饮料,肉干/豆制品/蛋
4.0,脉动,2017/2/5 08:33,B,饮料,功能饮料
3.0,怡宝,2017/2/5 08:46,B,饮料,水
1.0,香豆干,2017/2/5 08:58,C,非饮料,肉干/豆制品/蛋
2.0,香脆肠,2017/2/5 09:02,C,非饮料,肉干/豆制品/蛋
3.5,阿萨姆奶茶,2017/2/5 09:09,E,饮料,茶饮料
3.0,卫龙大面筋,2017/2/5 09:10,D,非饮料,肉干/豆制品/蛋
4.0,阿萨姆奶茶,2017/2/5 09:10,E,饮料,茶饮料
3.0,卫龙大面筋,2017/2/5 09:12,C,非饮料,肉干/豆制品/蛋
3.5,冰糖雪梨,2017/2/5 09:14,D,饮料,果蔬饮料
3.0,雪碧最新款,2017/2/5 09:14,E,饮料,碳酸饮料
3.0,茉莉蜜茶,2017/2/5 09:37,C,饮料,茶饮料
3.0,怡宝,2017/2/5 10:12,C,饮料,水
3.0,卫龙大面筋,2017/2/5 10:28,B,非饮料,肉干/豆制品/蛋
4.0,阿萨姆奶茶,2017/2/5 10:58,B,饮料,茶饮料
4.5,营养快线,2017/2/5 10:59,A,饮料,乳制品
5.0,好吃点,2017/2/5 11:32,C,非饮料,饼干糕点
3.0,卫龙大面筋,2017/2/5 11:45,C,非饮料,肉干/豆制品/蛋
5.0,好吃点,2017/2/5 11:49,C,非饮料,饼干糕点
2.0,雪力矿泉水,2017/2/5 11:52,A,饮料,水
2.0,雪力矿泉水,2017/2/5 12:01,A,饮料,水
10.0,湘潭铺子(羽泉版),2017/2/5 12:07,A,非饮料,蜜饯/果干
1.0,香豆干,2017/2/5 12:17,B,非饮料,肉干/豆制品/蛋
4.0,营养快线,2017/2/5 12:41,B,饮料,乳制品
1.5,小鱼仔,2017/2/5 13:03,A,非饮料,海味零食
3.5,熊字饼,2017/2/5 13:21,E,非饮料,饼干糕点
3.0,卫龙大面筋,2017/2/5 13:35,B,非饮料,肉干/豆制品/蛋
3.0,卫龙大面筋,2017/2/5 13:49,C,非饮料,肉干/豆制品/蛋
4.5,阿萨姆奶茶,2017/2/5 13:58,B,饮料,茶饮料
4.5,阿萨姆奶茶,2017/2/5 13:59,C,饮料,茶饮料
4.0,王老吉（500ml）,2017/2/5 14:08,B,饮料,茶饮料
2.0,怡宝纯净水,2017/2/5 14:18,B,饮料,水
5.0,500ml统一阿萨姆奶茶,2017/2/5 14:29,D,饮料,茶饮料
3.5,东鹏特饮,2017/2/5 14:29,D,饮料,功能饮料
2.5,怡宝纯净水,2017/2/5 14:37,C,饮料,水
3.0,可口可乐330ml,2017/2/5 14:37,E,饮料,碳酸饮料
3.5,东鹏特饮,2017/2/5 14:40,C,饮料,功能饮料
3.5,250ml燕塘甜牛奶,2017/2/5 14:45,E,饮料,乳制品
3.0,可口可乐330ml,2017/2/5 14:45,E,饮料,碳酸饮料
4.0,脉动,2017/2/5 14:47,B,饮料,功能饮料
3.5,东鹏特饮,2017/2/5 14:54,A,饮料,功能饮料
4.5,椰树牌椰汁,2017/2/5 14:55,B,饮料,植物蛋白
3.5,东鹏特饮,2017/2/5 14:55,D,饮料,功能饮料
1.0,小鱼仔,2017/2/5 14:55,E,非饮料,海味零食
3.0,统一冰红茶,2017/2/5 14:56,A,饮料,茶饮料
1.2,康师傅矿泉水,2017/2/5 14:56,E,饮料,水
4.0,营养快线,2017/2/5 14:59,D,饮料,乳制品
3.0,伊利纯牛奶,2017/2/5 15:03,D,饮料,乳制品
3.0,伊利纯牛奶,2017/2/5 15:17,A,饮料,乳制品
2.0,怡宝,2017/2/5 15:20,D,饮料,水
4.0,营养快线,2017/2/5 15:30,C,饮料,乳制品
2.0,鸭翅,2017/2/5 15:44,C,非饮料,肉干/豆制品/蛋
1.5,香豆干,2017/2/5 15:54,C,非饮料,肉干/豆制品/蛋
3.0,统一冰红茶,2017/2/5 15:55,A,饮料,茶饮料
3.0,卫龙大面筋,2017/2/5 15:55,D,非饮料,肉干/豆制品/蛋
2.0,怡宝,2017/2/5 16:31,A,饮料,水
1.5,鸭翅,2017/2/5 16:31,D,非饮料,肉干/豆制品/蛋
2.0,怡宝纯净水,2017/2/5 16:33,C,饮料,水
6.0,安慕希酸奶,2017/2/5 16:42,B,饮料,乳制品
4.0,阿萨姆奶茶,2017/2/5 16:42,E,饮料,茶饮料
2.0,怡宝,2017/2/5 16:59,A,饮料,水
4.0,营养快线,2017/2/5 17:01,C,饮料,乳制品
5.5,205g伊利安慕希原味,2017/2/5 17:41,B,饮料,乳制品
5.0,500ml统一阿萨姆奶茶,2017/2/5 17:41,B,饮料,茶饮料
2.0,鸭翅,2017/2/5 17:41,B,非饮料,肉干/豆制品/蛋
4.0,阿萨姆奶茶,2017/2/5 17:41,D,饮料,茶饮料
4.0,脉动,2017/2/5 17:41,E,饮料,功能饮料
3.0,统一冰红茶,2017/2/5 17:42,A,饮料,茶饮料
2.5,伊利优酸乳,2017/2/5 17:42,B,饮料,乳制品
2.5,怡宝纯净水,2017/2/5 17:42,C,饮料,水
4.0,阿萨姆奶茶,2017/2/5 18:14,D,饮料,茶饮料
4.0,阿萨姆奶茶,2017/2/5 18:18,A,饮料,茶饮料
2.5,伊利优酸乳,2017/2/5 18:38,D,饮料,乳制品
3.5,冰糖雪梨,2017/2/5 19:31,E,饮料,果蔬饮料
1.0,香豆干,2017/2/5 20:03,D,非饮料,肉干/豆制品/蛋
4.0,阿萨姆奶茶,2017/2/5 21:05,D,饮料,茶饮料
3.5,东鹏特饮,2017/2/5 21:35,D,饮料,功能饮料
1.5,小鱼仔,2017/2/7 08:42,C,非饮料,海味零食
10.0,湘潭铺子(羽泉版),2017/2/7 08:50,D,非饮料,蜜饯/果干
3.5,王老吉（罐）,2017/2/7 08:59,D,饮料,茶饮料
3.5,东鹏特饮,2017/2/7 09:02,A,饮料,功能饮料
3.0,雪碧（500ml）,2017/2/7 09:02,D,饮料,碳酸饮料
1.0,香豆干,2017/2/7 09:04,D,非饮料,肉干/豆制品/蛋
6.0,红牛,2017/2/7 09:33,B,饮料,功能饮料
15.0,口味王槟榔（红）,2017/2/7 09:41,B,非饮料,蜜饯/果干
2.0,怡宝纯净水,2017/2/7 11:58,B,饮料,水
3.5,东鹏特饮,2017/2/7 12:09,A,饮料,功能饮料
2.0,怡宝纯净水,2017/2/7 16:23,B,饮料,水
3.0,汤达人桶面,2017/2/7 16:27,D,非饮料,方便速食
4.0,银鹭八宝粥,2017/2/7 16:27,E,饮料,方便速食
2.0,怡宝纯净水,2017/2/7 20:35,D,饮料,水
3.0,雪碧330ml,2017/2/7 20:37,A,饮料,碳酸饮料
3.0,冰糖雪梨,2017/2/7 21:01,A,饮料,果蔬饮料
1.5,小鱼仔,2017/2/7 21:52,C,非饮料,海味零食
3.0,茉莉蜜茶,2017/2/7 23:03,D,饮料,茶饮料
3.0,统一绿茶,2017/2/7 23:05,D,饮料,茶饮料
3.5,统一绿茶,2017/2/8 08:49,E,饮料,茶饮料
3.5,东鹏特饮,2017/2/8 09:03,B,饮料,功能饮料
3.0,卫龙大面筋,2017/2/8 09:08,C,非饮料,肉干/豆制品/蛋
3.0,可口可乐（500ml）,2017/2/8 09:17,A,饮料,碳酸饮料
3.5,芬达330ml,2017/2/8 12:07,E,饮料,碳酸饮料
3.5,可口可乐（500ml）,2017/2/8 12:22,E,饮料,碳酸饮料
3.5,东鹏特饮,2017/2/8 13:33,B,饮料,功能饮料
3.0,雪碧（500ml）,2017/2/8 13:57,B,饮料,碳酸饮料
3.5,维他柠檬茶,2017/2/8 14:33,E,饮料,茶饮料
3.0,卫龙大面筋,2017/2/8 14:33,E,非饮料,肉干/豆制品/蛋
4.0,脉动,2017/2/8 14:51,C,饮料,功能饮料
2.0,怡宝纯净水,2017/2/8 15:01,A,饮料,水
3.0,怡宝,2017/2/8 16:02,C,饮料,水
4.0,阿萨姆奶茶,2017/2/8 16:02,E,饮料,茶饮料
3.0,统一冰红茶,2017/2/8 16:08,D,饮料,茶饮料
3.0,果粒橙,2017/2/8 16:09,A,饮料,果蔬饮料
1.5,40g双汇玉米热狗肠,2017/2/8 16:09,B,非饮料,肉干/豆制品/蛋
3.0,果粒橙,2017/2/8 16:09,B,饮料,果蔬饮料
3.5,可乐可乐,2017/2/8 16:09,B,饮料,碳酸饮料
5.0,脉动,2017/2/8 16:10,C,饮料,功能饮料
4.0,王老吉（500ml）,2017/2/8 16:10,E,饮料,茶饮料
2.5,怡宝纯净水,2017/2/8 16:37,D,饮料,水
1.5,鸭翅,2017/2/8 16:37,E,非饮料,肉干/豆制品/蛋
3.0,可口可乐（500ml）,2017/2/8 17:27,D,饮料,碳酸饮料
4.0,脉动,2017/2/8 19:28,C,饮料,功能饮料
4.0,阿萨姆奶茶,2017/2/9 07:24,A,饮料,茶饮料
4.0,阿萨姆奶茶,2017/2/9 08:51,A,饮料,茶饮料
4.0,营养快线,2017/2/9 10:25,B,饮料,乳制品
6.0,红牛,2017/2/9 11:48,C,饮料,功能饮料
1.0,好吃点小饼干,2017/2/9 12:13,B,非饮料,饼干糕点
4.0,营养快线,2017/2/9 15:34,B,饮料,乳制品
25.0,芙蓉王,2017/2/10 09:26,C,非饮料,香烟
3.5,冰糖雪梨,2017/2/10 11:32,A,饮料,果蔬饮料
3.0,雪碧最新款,2017/2/10 13:19,D,饮料,碳酸饮料
3.0,怡宝,2017/2/10 13:20,C,饮料,水
3.0,可口可乐最新款,2017/2/10 14:36,D,饮料,碳酸饮料
2.0,怡宝,2017/2/10 15:55,A,饮料,水
4.0,营养快线,2017/2/10 18:26,E,饮料,乳制品
4.0,脉动,2017/2/11 00:13,E,饮料,功能饮料
3.5,可口可乐（500ml）,2017/2/11 09:02,E,饮料,碳酸饮料
4.0,营养快线,2017/2/11 11:48,E,饮料,乳制品
3.0,可口可乐最新款,2017/2/11 14:41,D,饮料,碳酸饮料
4.0,可口可乐（500ml）,2017/2/11 16:19,E,饮料,碳酸饮料
4.0,脉动,2017/2/11 18:59,D,饮料,功能饮料
3.5,东鹏特饮,2017/2/11 19:00,E,饮料,功能饮料
4.5,阿萨姆奶茶,2017/2/12 00:13,E,饮料,茶饮料
3.5,可口可乐（500ml）,2017/2/12 08:44,E,饮料,碳酸饮料
4.0,果粒橙,2017/2/12 09:19,E,饮料,果蔬饮料
2.0,怡宝,2017/2/12 10:27,A,饮料,水
3.5,统一绿茶,2017/2/12 13:39,E,饮料,茶饮料
3.5,东鹏特饮,2017/2/12 15:07,B,饮料,功能饮料
2.0,伊利优酸乳,2017/2/12 15:32,B,饮料,乳制品
3.5,统一绿茶,2017/2/12 16:04,E,饮料,茶饮料
2.0,怡宝纯净水,2017/2/12 16:10,C,饮料,水
3.5,熊字饼,2017/2/12 16:51,E,非饮料,饼干糕点
3.5,统一绿茶,2017/2/12 16:52,E,饮料,茶饮料
3.5,统一绿茶,2017/2/12 17:13,E,饮料,茶饮料
3.5,熊字饼,2017/2/13 02:50,E,非饮料,饼干糕点
4.0,营养快线,2017/2/13 13:41,B,饮料,乳制品
3.5,阿萨姆奶茶,2017/2/13 15:16,E,饮料,茶饮料
3.5,伊利优酸乳,2017/2/13 15:37,C,饮料,乳制品
3.5,可口可乐（500ml）,2017/2/13 21:38,E,饮料,碳酸饮料
3.5,统一绿茶,2017/2/13 23:56,E,饮料,茶饮料
3.5,冰糖雪梨,2017/2/14 04:06,E,饮料,果蔬饮料
1.0,香脆肠,2017/2/14 12:22,D,非饮料,肉干/豆制品/蛋
1.0,香脆肠,2017/2/14 12:41,D,非饮料,肉干/豆制品/蛋
3.5,雪碧（500ml）,2017/2/14 14:03,E,饮料,碳酸饮料
3.5,雪碧（500ml）,2017/2/14 14:49,E,饮料,碳酸饮料
3.5,东鹏特饮,2017/2/14 16:19,C,饮料,功能饮料
3.5,统一绿茶,2017/2/14 17:12,E,饮料,茶饮料
3.5,果粒橙,2017/2/14 21:13,E,饮料,果蔬饮料
3.5,果粒橙,2017/2/15 09:50,E,饮料,果蔬饮料
3.0,卫龙大面筋,2017/2/15 10:39,D,非饮料,肉干/豆制品/蛋
3.0,可口可乐330ml,2017/2/15 11:05,E,饮料,碳酸饮料
3.5,统一冰红茶,2017/2/15 12:27,E,饮料,茶饮料
3.5,统一冰红茶,2017/2/15 13:32,E,饮料,茶饮料
4.0,阿萨姆奶茶,2017/2/15 13:56,B,饮料,茶饮料
3.0,统一冰红茶,2017/2/15 15:08,B,饮料,茶饮料
5.0,营养快线,2017/2/15 15:08,C,饮料,乳制品
3.0,可口可乐330ml,2017/2/15 15:18,A,饮料,碳酸饮料
3.5,东鹏特饮,2017/2/15 16:27,A,饮料,功能饮料
3.5,东鹏特饮,2017/2/15 16:32,B,饮料,功能饮料
10.0,口味王槟榔（绿）,2017/2/15 16:51,B,非饮料,蜜饯/果干
2.0,怡宝纯净水,2017/2/15 17:26,B,饮料,水
3.0,雪碧最新款,2017/2/15 18:44,C,饮料,碳酸饮料
4.0,脉动,2017/2/15 19:26,B,饮料,功能饮料
3.5,果粒橙,2017/2/15 19:27,E,饮料,果蔬饮料
3.5,85g新麦潮手撕面包（提子味）,2017/2/15 19:28,E,非饮料,饼干糕点
3.5,东鹏特饮,2017/2/15 19:28,E,饮料,功能饮料
4.0,王老吉（500ml）,2017/2/15 21:23,E,饮料,茶饮料
4.0,营养快线,2017/2/16 03:00,A,饮料,乳制品
3.5,东鹏特饮,2017/2/16 10:21,A,饮料,功能饮料
4.0,阿萨姆奶茶,2017/2/16 10:21,E,饮料,茶饮料
2.5,维他柠檬茶,2017/2/16 10:55,D,饮料,茶饮料
3.0,果粒橙,2017/2/16 10:55,E,饮料,果蔬饮料
3.0,熊字饼,2017/2/16 10:56,A,非饮料,饼干糕点
3.0,可口可乐最新款,2017/2/16 10:56,D,饮料,碳酸饮料
3.0,可口可乐（500ml）,2017/2/16 10:59,D,饮料,碳酸饮料
3.0,雪碧最新款,2017/2/16 11:03,C,饮料,碳酸饮料
4.0,脉动,2017/2/16 13:15,C,饮料,功能饮料
4.0,阿萨姆煎茶奶绿,2017/2/16 14:11,B,饮料,茶饮料
4.0,阿萨姆奶茶,2017/2/16 14:12,B,饮料,茶饮料
3.0,维他柠檬茶,2017/2/16 14:19,D,饮料,茶饮料
3.0,统一冰红茶,2017/2/16 15:09,D,饮料,茶饮料
3.5,东鹏特饮,2017/2/16 16:40,C,饮料,功能饮料
2.0,雪力矿泉水,2017/2/16 17:13,A,饮料,水
4.0,银鹭八宝粥,2017/2/16 17:37,D,饮料,方便速食
2.5,伊利优酸乳,2017/2/16 17:59,A,饮料,乳制品
1.0,香脆肠,2017/2/16 19:01,D,非饮料,肉干/豆制品/蛋
4.0,阿萨姆奶茶,2017/2/17 01:17,D,饮料,茶饮料
1.0,香脆肠,2017/2/17 03:35,D,非饮料,肉干/豆制品/蛋
2.0,伊利优酸乳,2017/2/17 03:43,B,饮料,乳制品
4.0,营养快线,2017/2/17 05:52,C,饮料,乳制品
3.0,统一绿茶,2017/2/17 05:54,D,饮料,茶饮料
3.5,东鹏特饮,2017/2/17 08:40,B,饮料,功能饮料
4.0,银鹭八宝粥,2017/2/17 08:43,B,饮料,方便速食
4.0,脉动,2017/2/17 08:51,E,饮料,功能饮料
2.0,怡宝,2017/2/17 13:27,E,饮料,水
4.0,阿萨姆奶茶,2017/2/17 13:32,E,饮料,茶饮料
5.0,阿萨姆奶茶,2017/2/17 13:33,C,饮料,茶饮料
3.0,卫龙大面筋,2017/2/17 14:41,E,非饮料,肉干/豆制品/蛋
0.8,20g咪咪虾条马来西亚风味,2017/2/17 15:45,B,非饮料,膨化食品
3.0,卫龙大面筋,2017/2/17 15:45,B,非饮料,肉干/豆制品/蛋
3.0,卫龙大面筋,2017/2/17 15:45,E,非饮料,肉干/豆制品/蛋
10.0,湘潭铺子(羽泉版),2017/2/17 15:58,A,非饮料,蜜饯/果干
4.0,银鹭八宝粥,2017/2/17 16:12,E,饮料,方便速食
5.0,脉动,2017/2/17 17:05,C,饮料,功能饮料
3.0,统一绿茶,2017/2/17 17:09,D,饮料,茶饮料
2.5,伊利优酸乳,2017/2/17 17:10,D,饮料,乳制品
3.0,可口可乐最新款,2017/2/17 17:12,D,饮料,碳酸饮料
3.5,东鹏特饮,2017/2/17 17:13,D,饮料,功能饮料
2.0,5片装益达绿箭口香糖,2017/2/17 17:13,E,非饮料,糖果/巧克力
1.0,康师傅矿泉水,2017/2/17 17:13,E,饮料,水
2.0,香脆肠,2017/2/17 17:16,A,非饮料,肉干/豆制品/蛋
3.5,东鹏特饮,2017/2/17 19:15,C,饮料,功能饮料
1.0,香豆干,2017/2/17 20:21,B,非饮料,肉干/豆制品/蛋
3.5,可口可乐（500ml）,2017/2/17 22:35,E,饮料,碳酸饮料
2.0,怡宝,2017/2/18 00:27,D,饮料,水
3.0,可口可乐最新款,2017/2/18 00:28,D,饮料,碳酸饮料
10.0,口味王槟榔（绿）,2017/2/18 02:42,C,非饮料,蜜饯/果干
3.0,雪碧最新款,2017/2/18 08:53,C,饮料,碳酸饮料
4.5,脉动,2017/2/18 09:17,A,饮料,功能饮料
3.0,雪碧最新款,2017/2/18 09:38,C,饮料,碳酸饮料
3.5,东鹏特饮,2017/2/18 09:38,D,饮料,功能饮料
3.0,怡宝,2017/2/18 11:54,B,饮料,水
4.0,果粒橙,2017/2/18 12:02,E,饮料,果蔬饮料
3.0,统一冰红茶,2017/2/18 12:17,A,饮料,茶饮料
4.0,脉动,2017/2/18 12:48,B,饮料,功能饮料
3.0,怡宝,2017/2/18 14:06,C,饮料,水
3.0,果粒橙,2017/2/18 14:07,A,饮料,果蔬饮料
3.0,果粒橙,2017/2/18 14:24,D,饮料,果蔬饮料
3.0,果粒橙,2017/2/18 14:45,A,饮料,果蔬饮料
3.0,果粒橙,2017/2/18 15:53,D,饮料,果蔬饮料
